node_id,is_defect,score,degree,x,y,elevation,type
HS1313402,0,0.8363926999924451,4,526150.125,384626.564,18.84,storage
HS1313835,0,0.74819071476645,4,526399.137,384747.378,18.47,junction
HS1306904,0,0.7042438446829767,4,526055.383,384825.789,18.297,storage
HS1313205,0,0.6843993014391694,4,525947.258,384526.879,19.22,junction
HS1308324,0,0.6629574318783165,4,526569.315,385075.461,17.9,junction
HS1306601,0,0.6341070066003416,4,525856.568,384729.481,18.793,junction
HS1316202,0,0.5735566426196201,3,526642.345,384856.947,18.203,junction
HS1313597,0,0.5242747348942063,4,526344.349,384574.762,19.92,junction
HS1316467,0,0.506610115392049,4,527025.45,384846.1,21.36,junction
HS1316563,0,0.5043404143920638,4,526891.504,384705.685,19.09,junction
HS1306571,0,0.49048866203757896,3,525609.67,384609.05,19.22,junction
HS2003046,0,0.4822140418656574,3,525687.252,384995.686,18.316,storage
HS1316721,0,0.4664841678513467,3,526866.129,384993.909,20.39,junction
HS1314512,0,0.42816675991214276,2,526317.995,385209.223,17.59,storage
HS1313298,0,0.42193235429157805,3,525587.619,384356.394,19.685,junction
MH0101924,0,0.39412187292619427,2,526238.59,384466.088,19.702,storage
HS1316585,0,0.36426913549576734,3,527001.638,384599.072,20.032,junction
HS1313253,0,0.35433832865562104,3,526119.436,384172.976,20.27,junction
HS1313025,0,0.34953261550162956,3,525844.405,384060.973,20.3,junction
HS2003015,0,0.3443071773189675,2,525935.618,385081.008,18.09,storage
HS1313001,0,0.3431555444478895,3,525922.159,383867.078,20.54,junction
HS2003111,0,0.32040078530849697,3,525246.278,384847.449,18.513,junction
HS2003085,0,0.31664878492889925,2,525414.841,384903.538,18.372,junction
HS1324403,0,0.31514133987162857,2,525766.044,384242.11,20.0,junction
HS1316643,0,0.3143749579711638,3,527134.393,384746.899,22.13,junction
HS2003070,0,0.29849406295435005,2,525550.635,384946.984,18.4,junction
HS1306554,0,0.2877635459629851,2,525420.69,384515.696,19.35,junction
HS1311887,0,0.2857307038927783,2,526436.38,384095.571,20.56,junction
MH0242303,0,0.27075365089933967,2,526241.743,385075.4,18.637,junction
HS1308259,0,0.2662748650061646,2,526691.442,385139.641,19.84,junction
HS1308302,0,0.2589675654338757,2,526337.734,384962.962,18.194,junction
HS1330842,0,0.2278240034459606,2,525535.051,384807.811,19.31,junction
HS1344263,0,0.22443198134037382,2,527127.986,384474.107,20.55,junction
HS1311339,0,0.21815719079022505,2,526838.951,384300.26,22.13,junction
MH0201710,0,0.21467817941766246,2,525237.146,384318.811,19.59,junction
MH0200661,0,0.21099945816557322,2,525386.816,383995.636,20.17,junction
HS1313083,0,0.2041007744439685,2,525524.274,384053.723,20.09,junction
MH0242782,0,0.19685792458318047,2,527256.905,384632.546,22.527,junction
HS1314237,0,0.18625850515717132,2,525371.635,384662.133,19.73,junction
VP0232532,0,0.17542340722162256,2,525529.834,383704.82,20.15,junction
1,0,0.17199286981459552,1,526438.522,385291.004,17.5,outfall
HS1311284,0,0.17094559351316135,2,526050.881,383912.51,21.17,junction
MH0100819,0,0.16406694133566144,1,525912.201,385405.111,17.24,outfall
HS1316415,0,0.14899689522641907,1,526716.327,384634.88,20.2,junction
HS1316417,0,0.14625610844112447,1,526519.608,384548.768,19.19,junction
HS1316814,0,0.09335215022663605,1,527100.795,385086.207,22.95,junction
HS1313140,0,0.09316227446063909,1,525997.431,384265.012,20.09,junction
HS1313618,0,0.08911816334920958,1,526554.88,384182.312,22.38,junction
HS1344902,0,0.08870616723652172,1,527262.014,384934.412,23.19,junction
HS1344920,0,0.08732778556502202,1,525671.255,384125.946,21.17,junction
HS1313471,0,0.08724721367087303,1,526300.678,384271.887,20.8,junction
HS1344261,0,0.08145393509958682,1,526828.56,384451.451,21.61,junction
HS1306471,0,0.08011655603447539,1,526922.926,385280.162,23.42,junction
HS1313965,0,0.07910285983103237,1,526696.606,384260.262,22.12,junction
HS1313925,0,0.07698601716675751,1,526491.165,384359.697,21.42,junction
HS1313026,0,0.07433037517056536,1,525973.866,384110.932,20.7,junction
MH0201629,0,0.0669301449727731,1,525051.32,384669.729,19.87,junction
HS1311473,0,0.06446302426450878,1,525750.232,383794.477,22.97,junction
MH0258475,0,0.053843544578212214,1,527367.771,384808.104,23.118,junction
HS1311288,0,0.04494967476038378,1,526196.386,383961.566,21.26,junction
