defect_id,n_windows,top1,top3,mrr
19,24,0.0,1.0,0.5
31,12,0.0,0.3333333333333333,0.2777777777777778
44,24,0.0,1.0,0.5
55,24,0.5833333333333334,1.0,0.7916666666666666
65,24,0.0,1.0,0.5
76,6,0.8333333333333334,1.0,0.9166666666666666
80,6,0.3333333333333333,1.0,0.6666666666666666
84,24,0.0,1.0,0.5
88,6,0.0,1.0,0.47222222222222215
94,24,0.0,1.0,0.5
95,9,0.0,1.0,0.5
97,12,0.0,1.0,0.5
98,22,0.7272727272727273,1.0,0.8636363636363636
104,18,1.0,1.0,1.0
105,12,0.0,1.0,0.5
120,18,0.0,1.0,0.5
123,22,0.18181818181818182,1.0,0.5909090909090909
128,6,0.0,1.0,0.5
131,23,1.0,1.0,1.0
137,12,1.0,1.0,1.0
144,12,0.0,0.0,0.02716975927058173
148,12,0.0,0.6666666666666666,0.38888888888888884
152,18,0.2222222222222222,1.0,0.6111111111111112
153,12,0.0,0.08333333333333333,0.0850226331933649
155,12,0.5833333333333334,1.0,0.7222222222222223
156,12,1.0,1.0,1.0
161,12,1.0,1.0,1.0
167,6,1.0,1.0,1.0
170,6,0.0,1.0,0.5
171,23,0.0,0.13043478260869565,0.12635254349924543
175,18,1.0,1.0,1.0
191,12,0.16666666666666666,0.75,0.4847222222222222
192,12,1.0,1.0,1.0
196,18,1.0,1.0,1.0
201,12,0.0,0.08333333333333333,0.06488573933696061
204,6,0.0,1.0,0.5
207,16,0.0625,1.0,0.53125
212,9,1.0,1.0,1.0
229,22,0.0,0.0,0.03742921911634443
233,6,0.8333333333333334,1.0,0.9166666666666666
234,18,0.8888888888888888,0.8888888888888888,0.8981481481481483
235,15,0.8666666666666667,1.0,0.9333333333333333
238,24,0.20833333333333334,1.0,0.6041666666666666
240,6,1.0,1.0,1.0
246,6,0.3333333333333333,1.0,0.6666666666666666
253,6,0.3333333333333333,1.0,0.6666666666666666
256,12,0.0,1.0,0.5
258,24,0.0,0.0,0.0885769882480409
263,12,0.0,0.0,0.06469338927862954
265,4,0.0,0.0,0.06312957875457875
280,6,0.0,0.0,0.06245319960995017
281,24,0.75,0.7916666666666666,0.7852934102934103
282,6,1.0,1.0,1.0
283,3,0.0,1.0,0.5
290,6,0.3333333333333333,0.8333333333333334,0.6018518518518519
295,23,0.2608695652173913,0.8260869565217391,0.548013690783067
298,12,0.0,1.0,0.5
